group	marker	position
1A	Cluster_3354|Contig2|original@283	0
1A	cluster_singlet|EPO_092_2826919364122958018+,...,87210-|original@654	0
1A	Cluster_10322|Contig1|complementarySeq@393	0.7
1A	Cluster_3335|Contig1|complementarySeq@1206	0.7
1A	Cluster_3335|Contig1|likelySeq@1206	0.7
1A	Cluster_5949|Contig4|original@2220	0.7
1A	Cluster_7725|Contig5|original@540	0.7
1A	Cluster_1386|Contig2|original@880	1.3
1A	Cluster_6015|Contig5|original@225	7.6
1A	Cluster_6015|Contig8|original@230	7.6
1A	Cluster_7051|Contig4|original@1363	7.6
1A	Cluster_10103|Contig1|original@211	8.9
1A	Cluster_2150|Contig2|original@1760	9.3
1A	Cluster_2150|Contig3|original@1573	9.3
1A	Cluster_2150|Contig5|original@1711	9.3
1A	Cluster_10029|Contig1|original@800	13.2
1A	Cluster_9277|Contig1|likelySeq@519	13.2
1A	Cluster_9277|Contig2|original@99	13.2
1A	Cluster_9687|Contig1|original@1017	13.7
1A	Cluster_10014|Contig7|original@280	15.9
1A	Cluster_11076|Contig1|original@251	17.6
1A	Cluster_11076|Contig1|original@547	17.6
1A	Cluster_11076|Contig1|original@868	17.6
1A	Cluster_14274|Contig1|original@346	18.6
1A	Cluster_8411|Contig1|original@146	18.6
1A	Cluster_297|Contig37|complementarySeq@365	40.7
1A	Cluster_4373|Contig2|original@910	40.7
1A	Cluster_4946|Contig1|original@164	40.7
1A	Cluster_6679|Contig1|original@278	40.7
1A	Cluster_6679|Contig3|original@999	40.7
1A	Cluster_7561|Contig1|likelySeq@408	40.7
1A	Cluster_7561|Contig2|complementarySeq@276	40.7
1A	Cluster_7561|Contig2|likelySeq@152	40.7
1A	Traes_1AS_6AA4114A2@15	40.7
1A	Cluster_6179|Contig1|original@815	46.1
1A	Cluster_6645|Contig7|original@148	46.1
1A	Cluster_10236|Contig2|original@91	47.8
1A	Cluster_5099|Contig2|original@689	47.8
1A	Cluster_5602|Contig2|original@450	47.8
1A	Cluster_5602|Contig2|original@984	47.8
1A	Cluster_677|Contig3|original@1738	47.8
1A	Cluster_677|Contig6|original@814	47.8
1A	Cluster_9630|Contig1|likelySeq@1992	47.8
1A	Cluster_9947|Contig2|original@442	47.8
1A	Cluster_9|Contig6|original@329	47.8
1A	Cluster_117|Contig9|original@2312	48.4
1A	Cluster_2587|Contig1|original@394	49.2
1A	Cluster_4399|Contig1|complementarySeq@681	51.8
1A	Cluster_4399|Contig4|complementarySeq@536	51.8
1A	Cluster_4529|Contig2|original@487	52.2
1A	Cluster_9956|Contig1|original@177	53
1A	Cluster_4518|Contig1|original@852	53.7
1A	Cluster_31|Contig1|original@914	54.3
1A	Cluster_31|Contig2|original@448	54.3
1A	Cluster_31|Contig8|original@906	54.3
1A	Cluster_4507|Contig2|original@456	56.1
1A	Cluster_2944|Contig2|original@735	56.8
1A	Cluster_4786|Contig1|original@379	57.5
1A	Cluster_6846|Contig1|original@1725	57.5
1A	Cluster_6846|Contig3|original@1413	57.5
1A	Cluster_6846|Contig5|original@1377	57.5
1A	Cluster_6846|Contig5|original@368	57.5
1A	Cluster_11120|Contig1|original@74	58
1A	Cluster_943|Contig2|original@1217	58.5
1A	Cluster_10488|Contig4|original@514	60.1
1A	Cluster_12165|Contig2|original@1849	60.1
1A	Cluster_369|Contig1|original@728	61.9
1A	Cluster_369|Contig2|original@4554	61.9
1A	Cluster_369|Contig5|original@2164	61.9
1A	Cluster_369|Contig7|original@1116	61.9
1A	Cluster_369|Contig8|original@2061	61.9
1A	Cluster_369|Contig9|original@4392	61.9
1A	Cluster_4873|Contig1|original@960	64.2
1A	Cluster_16583|Contig1|original@691	67.1
1A	Cluster_8214|Contig1|original@201	67.1
1A	Cluster_2169|Contig2|likelySeq@506	67.8
1A	Cluster_6152|Contig1|original@50	68.9
1A	Cluster_10025|Contig1|complementarySeq@1290	69.8
1A	Cluster_10058|Contig2|likelySeq@296	69.8
1A	Cluster_3235|Contig3|original@3725	69.8
1A	Cluster_3666|Contig5|original@332	69.8
1A	Cluster_71|Contig3|original@1784	69.8
1A	Cluster_71|Contig6|complementarySeq@3298	69.8
1A	Cluster_71|Contig6|likelySeq@3298	69.8
1A	Cluster_9770|Contig3|complementarySeq@2045	69.8
1A	cluster_singlet|EPO_012_96294113580917071-,...,22611-|complementarySeq@385	69.8
1A	cluster_singlet|EPO_012_96294113580917071-,...,22611-|likelySeq@385	69.8
1A	Traes_1AS_4499E3652@987	69.8
